time,x,y,z,vx,vy,vz
227.82,422645.81868200155,-5362932.599885706,3415387.416299676,-0.9471396553217188,8.366675477961863,12.413769287344598
227.84,422645.7997379765,-5362932.432544049,3415387.664569476,-0.9472558497421361,8.368161793914691,12.412758538923857
227.86,422645.7807916276,-5362932.265172657,3415387.912819054,-0.9473720305041821,8.369647989207975,12.411747611525005
227.88,422645.7618429547,-5362932.097771528,3415388.1610484035,-0.9474881976061817,8.371134063820286,12.41073650516262
227.9,422645.74289195694,-5362931.930340666,3415388.409257522,-0.9476043510464602,8.372620017730195,12.409725219851277
227.92,422645.72393863584,-5362931.762880077,3415388.6574464054,-0.9477204908233428,8.374105850916278,12.408713755605563
227.94,422645.70498299017,-5362931.595389758,3415388.9056150517,-0.9478366169351545,8.37559156335711,12.407702112440058
227.96,422645.6860250227,-5362931.427869714,3415389.1537634553,-0.9479527293802211,8.37707715503127,12.406690290369351
227.98,422645.667064731,-5362931.260319947,3415389.401891613,-0.9480688281568687,8.378562625917338,12.405678289408034
228.0,422645.64810211805,-5362931.092740461,3415389.649999523,-0.9481849132634227,8.380047975993891,12.404666109570693
228.02,422645.6291371812,-5362930.925131256,3415389.89808718,-0.9483009846982098,8.381533205239515,12.403653750871927
228.04,422645.6101699233,-5362930.7574923355,3415390.14615458,-0.948417042459556,8.383018313632794,12.40264121332633
228.06,422645.59120034333,-5362930.589823701,3415390.3942017215,-0.948533086545788,8.384503301152316,12.401628496948504
228.08,422645.57222844125,-5362930.422125357,3415390.642228599,-0.9486491169552329,8.385988167776667,12.400615601753051
228.1,422645.5532542176,-5362930.254397305,3415390.8902352103,-0.9487651336862171,8.387472913484435,12.399602527754574
228.12,422645.53427767346,-5362930.086639545,3415391.1382215507,-0.9488811367370681,8.38895753825422,12.398589274967682
228.14,422645.51529880805,-5362929.918852083,3415391.3861876163,-0.9489971261061134,8.390442042064606,12.397575843406987
228.16,422645.4963176215,-5362929.75103492,3415391.6341334055,-0.9491131017916801,8.39192642489419,12.396562233087096
228.18,422645.4773341162,-5362929.583188057,3415391.8820589134,-0.9492290637920965,8.393410686721575,12.395548444022628
228.2,422645.4583482903,-5362929.4153114995,3415392.1299641356,-0.9493450121056903,8.394894827525354,12.394534476228202
228.22,422645.4393601438,-5362929.247405248,3415392.3778490704,-0.9494609467307894,8.396378847284126,12.393520329718434
228.24,422645.42036967917,-5362929.0794693045,3415392.625713713,-0.9495768676657227,8.397862745976498,12.392506004507952
228.26,422645.4013768944,-5362928.911503672,3415392.8735580603,-0.9496927749088182,8.39934652358107,12.391491500611375
228.28,422645.3823817908,-5362928.743508354,3415393.121382108,-0.9498086684584051,8.400830180076449,12.390476818043338
228.3,422645.36338436976,-5362928.57548335,3415393.3691858537,-0.9499245483128121,8.402313715441244,12.389461956818467
228.32,422645.34438462905,-5362928.407428666,3415393.6169692934,-0.9500404144703684,8.403797129654063,12.388446916951395
228.34,422645.3253825712,-5362928.239344302,3415393.8647324224,-0.9501562669294032,8.405280422693513,12.387431698456759
228.36,422645.30637819436,-5362928.071230262,3415394.1124752387,-0.9502721056882464,8.406763594538212,12.386416301349199
228.38,422645.2873715018,-5362927.903086546,3415394.360197738,-0.9503879307452273,8.408246645166773,12.385400725643354
228.4,422645.26836249034,-5362927.734913158,3415394.607899917,-0.9505037420986762,8.409729574557812,12.38438497135387
228.42,422645.2493511628,-5362927.566710101,3415394.85558177,-0.9506195397469228,8.411212382689943,12.383369038495385
228.44,422645.2303375179,-5362927.398477379,3415395.103243298,-0.9507353236882977,8.412695069541789,12.382352927082556
228.46,422645.211321557,-5362927.23021499,3415395.350884493,-0.9508510939211317,8.414177635091972,12.381336637130033
228.48,422645.1923032804,-5362927.061922939,3415395.598505354,-0.9509668504437551,8.415660079319112,12.380320168652467
228.5,422645.1732826871,-5362926.893601228,3415395.846105876,-0.951082593254499,8.41714240220184,12.37930352166452
228.52,422645.1542597785,-5362926.7252498595,3415396.093686056,-0.9511983223516944,8.418624603718776,12.378286696180842
228.54,422645.1352345547,-5362926.556868837,3415396.3412458915,-0.9513140377336726,8.420106683848548,12.377269692216098
228.56,422645.1162070161,-5362926.388458162,3415396.5887853764,-0.9514297393987654,8.421588642569795,12.376252509784958
228.58,422645.0971771614,-5362926.220017836,3415396.836304509,-0.9515454273453042,8.423070479861137,12.37523514890208
228.6,422645.0781449934,-5362926.051547863,3415397.0838032863,-0.9516611015716211,8.424552195701217,12.37421760958214
228.62,422645.05911051104,-5362925.883048244,3415397.3312817034,-0.9517767620760482,8.426033790068663,12.373199891839805
228.64,422645.0400737144,-5362925.714518982,3415397.5787397576,-0.9518924088569176,8.427515262942118,12.37218199568975
228.66,422645.0210346051,-5362925.545960081,3415397.826177445,-0.9520080419125619,8.428996614300218,12.371163921146653
228.68,422645.00199318054,-5362925.377371539,3415398.07359476,-0.9521236612413139,8.4304778441216,12.370145668225197
228.7,422644.9829494439,-5362925.208753366,3415398.3209917014,-0.9522392668415065,8.431958952384916,12.369127236940058
228.72,422644.96390339494,-5362925.040105557,3415398.5683682663,-0.9523548587114727,8.433439939068801,12.368108627305924
228.74,422644.94485503266,-5362924.871428118,3415398.8157244497,-0.9524704368495458,8.434920804151906,12.367089839337483
228.76,422644.9258043587,-5362924.702721051,3415399.063060248,-0.9525860012540595,8.436401547612876,12.366070873049422
228.78,422644.90675137175,-5362924.5339843575,3415399.310375657,-0.9527015519233472,8.43788216943036,12.365051728456432
228.8,422644.8876960734,-5362924.3652180405,3415399.5576706757,-0.9528170888557428,8.43936266958301,12.364032405573214
228.82,422644.86863846384,-5362924.196422103,3415399.8049452985,-0.9529326120495805,8.440843048049482,12.363012904414463
228.84,422644.8495785432,-5362924.027596548,3415400.052199521,-0.9530481215031945,8.442323304808424,12.361993224994874
228.86,422644.8305163116,-5362923.858741375,3415400.299433342,-0.9531636172149196,8.443803439838497,12.360973367329159
228.88,422644.8114517695,-5362923.68985659,3415400.5466467566,-0.9532790991830901,8.445283453118359,12.359953331432013
228.9,422644.7923849167,-5362923.5209421925,3415400.7938397615,-0.953394567406041,8.446763344626666,12.358933117318152
228.92,422644.7733157538,-5362923.351998188,3415401.041012352,-0.9535100218821073,8.448243114342086,12.357912725002281
228.94,422644.7542442806,-5362923.183024575,3415401.288164527,-0.9536254626096246,8.449722762243276,12.356892154499118
228.96,422644.7351704977,-5362923.01402136,3415401.5352962813,-0.9537408895869279,8.451202288308906,12.355871405823372
228.98,422644.7160944061,-5362922.844988543,3415401.782407611,-0.9538563028123532,8.45268169251764,12.354850478989766
229.0,422644.69701600616,-5362922.675926126,3415402.029498513,-0.9539717022842364,8.454160974848147,12.353829374013019
229.02,422644.677935297,-5362922.506834113,3415402.276568983,-0.9540870880009134,8.455640135279099,12.352808090907855
229.04,422644.6588522787,-5362922.337712507,3415402.5236190204,-0.9542024599607205,8.457119173789167,12.351786629689
229.06,422644.6397669526,-5362922.168561309,3415402.7706486187,-0.9543178181619941,8.458598090357023,12.350764990371179
229.08,422644.6206793189,-5362921.99938052,3415403.017657774,-0.9544331626030711,8.460076884961348,12.349743172969127
229.1,422644.6015893779,-5362921.830170145,3415403.264646485,-0.9545484932822881,8.461555557580816,12.348721177497577
229.12,422644.5824971285,-5362921.6609301865,3415403.511614746,-0.9546638101979823,8.463034108194105,12.347699003971263
229.14,422644.56340257206,-5362921.491660645,3415403.7585625555,-0.954779113348491,8.464512536779894,12.346676652404922
229.16,422644.54430571024,-5362921.322361525,3415404.0054899086,-0.9548944027321514,8.465990843316874,12.345654122813299
229.18,422644.5252065405,-5362921.153032828,3415404.2523968015,-0.9550096783473013,8.467469027783721,12.344631415211138
229.2,422644.5061050655,-5362920.983674557,3415404.499283232,-0.9551249401922789,8.468947090159128,12.343608529613185
229.22,422644.48700128443,-5362920.8142867135,3415404.746149195,-0.9552401882654218,8.470425030421776,12.342585466034185
229.24,422644.46789519716,-5362920.6448693,3415404.992994687,-0.9553554225650683,8.471902848550362,12.341562224488891
229.26,422644.44878680416,-5362920.475422318,3415405.239819706,-0.9554706430895572,8.473380544523572,12.34053880499206
229.28,422644.42967610667,-5362920.305945772,3415405.4866242474,-0.9555858498372266,8.4748581183201,12.339515207558444
229.3,422644.41056310385,-5362920.136439664,3415405.733408308,-0.9557010428064159,8.476335569918644,12.338491432202806
229.32,422644.39144779684,-5362919.966903996,3415405.980171882,-0.9558162219954639,8.4778128992979,12.33746747893991
229.34,422644.3723301849,-5362919.797338772,3415406.22691497,-0.9559313874027097,8.479290106436562,12.336443347784513
229.36,422644.3532102692,-5362919.62774399,3415406.4736375655,-0.9560465390264927,8.480767191313337,12.335419038751386
229.38,422644.33408805006,-5362919.458119657,3415406.720339666,-0.956161676865153,8.482244153906922,12.334394551855297
229.4,422644.3149635277,-5362919.288465774,3415406.9670212674,-0.9562768009170302,8.483720994196025,12.33336988711102
229.42,422644.29583670094,-5362919.118782343,3415407.2136823665,-0.9563919111804641,8.48519771215935,12.332345044533328
229.44,422644.27670757263,-5362918.949069368,3415407.46032296,-0.9565070076537953,8.486674307775601,12.331320024137
229.46,422644.2575761403,-5362918.779326848,3415407.706943043,-0.956622090335364,8.48815078102349,12.33029482593681
229.48,422644.23844240676,-5362918.609554789,3415407.953542613,-0.9567371592235109,8.48962713188173,12.329269449947548
